"Name","DefFile","DefLine","Refs","RefsDollar","RefsAt","RefsAmp"
"COLUNA_BOTAO_VINCULOS_NF","tests\90_examples\13_abrir_vinculos_nota_fiscal_no_grid.robot","9","2","2","0","0"
"COMPILADOR_DIR","resources\data\compilador_data.resource","8","2","2","0","0"
"COMPILADOR_TIMEOUT_PADRAO","resources\data\compilador_data.resource","29","2","2","0","0"
"CONTAS_PAGAR_BOTAO_BUSCAR_LOCATOR","resources\data\contas_pagar_data.resource","20","2","2","0","0"
"CONTAS_PAGAR_CAMPO_DATA_FINAL_LOCATOR","resources\data\contas_pagar_data.resource","19","2","2","0","0"
"CONTAS_PAGAR_CAMPO_DATA_INICIAL_LOCATOR","resources\data\contas_pagar_data.resource","18","2","2","0","0"
"CONTAS_PAGAR_COLUNA_BANCO","resources\data\contas_pagar_data.resource","9","2","2","0","0"
"CONTAS_PAGAR_COLUNA_CONFIRMADO","resources\data\contas_pagar_data.resource","8","2","2","0","0"
"CONTAS_PAGAR_COLUNA_CONTA","resources\data\contas_pagar_data.resource","10","2","2","0","0"
"CONTAS_PAGAR_DATA_INICIAL_PADRAO","resources\data\contas_pagar_data.resource","24","2","2","0","0"
"CONTAS_PAGAR_TOOLBAR_MANUTENCAO_INDEX","resources\data\contas_pagar_data.resource","55","2","2","0","0"
"CONTAS_PAGAR_TOOLBAR_VINCULO_PL_INDEX","resources\data\contas_pagar_data.resource","56","2","2","0","0"
"DIAG_CAMINHO_MENU_CSV","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","21","2","2","0","0"
"DIAG_CLASS_TOKENS_CSV","tests\90_examples\07_inspecionar_elementos_contas_pagar.robot","14","2","2","0","0"
"DIAG_CONTROL_CLASSES","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","22","2","0","2","0"
"DIAG_GRID_INDEX","tests\90_examples\07_inspecionar_elementos_contas_pagar.robot","12","2","2","0","0"
"DIAG_GRID_TOKENS_CSV","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","13","2","2","0","0"
"DIAG_NAVEGAR_ANTES","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","20","2","2","0","0"
"DIAG_PRINT_TREE_MAX_DEPTH","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","18","2","2","0","0"
"DIAG_SSTAB_CLASS","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","16","2","2","0","0"
"DIAG_TOP_CANDIDATES","tests\90_examples\07_inspecionar_elementos_contas_pagar.robot","15","2","2","0","0"
"DIRETORIOS_OBRIGATORIOS","tests\02_pipeline_smoke\01_smoke_ambiente_basico.robot","7","2","0","2","0"
"doc_right","resources\apps\uauxt.resource","365","2","2","0","0"
"documento","resources\apps\uauxt.resource","363","2","2","0","0"
"documento","resources\apps\uauxt.resource","274","2","2","0","0"
"edit_status","resources\apps\compilador.resource","174","2","2","0","0"
"expr_glyph","resources\apps\uauxt.resource","138","2","2","0","0"
"expr_visiveis","resources\apps\uauxt.resource","163","2","2","0","0"
"fim_0","resources\apps\uauxt_grid.resource","296","2","2","0","0"
"FIN_EMI_DELAY_CURTO_MS","resources\data\financeiro_data.resource","19","2","2","0","0"
"FIN_EMI_GRID_PRINCIPAL_INDEX","resources\data\financeiro_data.resource","14","2","2","0","0"
"FIN_EMI_GRID_SECUNDARIO_INDEX","resources\data\financeiro_data.resource","15","2","2","0","0"
"FIN_EMI_TOOLBAR_CLASS","resources\data\financeiro_data.resource","13","2","2","0","0"
"grid_indexes","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","48","2","1","1","0"
"grid_main","resources\domains\financeiro.resource","38","2","2","0","0"
"grid_sec","resources\domains\financeiro.resource","42","2","2","0","0"
"has_msg","resources\apps\compilador.resource","165","2","2","0","0"
"has_success","resources\apps\compilador.resource","151","2","2","0","0"
"height","resources\apps\uauxt_grid.resource","40","2","2","0","0"
"inicio_0","resources\apps\uauxt_grid.resource","295","2","2","0","0"
"is_todo","resources\apps\uauxt_grid.resource","556","2","2","0","0"
"json_text","resources\apps\uauxt_grid.resource","16","2","2","0","0"
"last","resources\apps\compilador.resource","47","2","2","0","0"
"locator_final","resources\domains\contas_pagar.resource","52","2","2","0","0"
"locator_inicial","resources\domains\contas_pagar.resource","51","2","2","0","0"
"locator_text","resources\apps\uauxt_grid.resource","554","2","2","0","0"
"mainview_ok","resources\apps\uauxt.resource","111","2","2","0","0"
"mainview_pronto","resources\apps\uauxt.resource","32","2","2","0","0"
"mapping","tests\90_examples\18_discovery_toolbar_buttons.robot","21","2","1","1","0"
"name_cell","resources\apps\compilador.resource","96","2","2","0","0"
"nome","resources\apps\uauxt.resource","377","2","2","0","0"
"nome_submenu_normalizado","resources\apps\uauxt.resource","162","2","2","0","0"
"ok_alt","resources\apps\uauxt_grid.resource","333","2","2","0","0"
"parent_chain","tests\90_examples\07_inspecionar_elementos_contas_pagar.robot","46","2","2","0","0"
"PESSOA_ALTERNATIVA","resources\data\pessoas_data.resource","8","2","1","0","1"
"PESSOA_INVALIDA_CPF","resources\data\pessoas_data.resource","9","2","1","0","1"
"PESSOA_PADRAO","resources\data\pessoas_data.resource","7","2","1","0","1"
"popup_alternativo","resources\apps\uauxt.resource","27","2","2","0","0"
"popup_encontrado","resources\apps\uauxt.resource","22","2","2","0","0"
"python_exe","resources\apps\uauxt_grid.resource","49","2","2","0","0"
"refresh_json","resources\apps\uauxt_grid.resource","596","2","2","0","0"
"refresh_ok","resources\apps\uauxt_grid.resource","603","2","2","0","0"
"refresh_payload","resources\apps\uauxt_grid.resource","602","2","2","0","0"
"root","resources\apps\compilador.resource","40","2","2","0","0"
"row","resources\apps\compilador.resource","88","2","2","0","0"
"row_0","resources\apps\uauxt_grid.resource","214","2","2","0","0"
"rows","resources\apps\uauxt_grid.resource","527","2","2","0","0"
"sc","tests\90_examples\18_discovery_toolbar_buttons.robot","34","2","2","0","0"
"sc_str","tests\90_examples\18_discovery_toolbar_buttons.robot","35","2","2","0","0"
"segundo_cb","resources\apps\compilador.resource","41","2","2","0","0"
"senha_pronto","resources\apps\uauxt.resource","38","2","2","0","0"
"sep","tests\90_examples\18_discovery_toolbar_buttons.robot","29","2","2","0","0"
"status_cell","resources\apps\compilador.resource","98","2","2","0","0"
"status_elem","resources\apps\uauxt_grid.resource","568","2","2","0","0"
"status_global","resources\apps\uauxt_grid.resource","583","2","2","0","0"
"status_textos","resources\apps\uauxt_grid.resource","575","2","2","0","0"
"submenu","resources\apps\uauxt.resource","168","2","2","0","0"
"toolbars","resources\domains\financeiro.resource","46","2","2","0","0"
"total_indices","resources\apps\uauxt_grid.resource","232","2","2","0","0"
"total_itens","resources\apps\uauxt.resource","226","2","2","0","0"
"touched_rows","resources\apps\uauxt_grid.resource","257","2","2","0","0"
"UAUXT_BOTAO_APROVAR","resources\data\uauxt_menu_data.resource","23","2","2","0","0"
"UAUXT_BOTAO_FILTRO","resources\data\uauxt_menu_data.resource","25","2","2","0","0"
"UAUXT_BOTAO_REJEITAR","resources\data\uauxt_menu_data.resource","24","2","2","0","0"
"UAUXT_CAMINHO_MENU_APROVACAO_PAGAMENTOS","resources\data\uauxt_menu_data.resource","62","2","0","2","0"
"UAUXT_CAMPO_FILTRO_STATUS","resources\data\uauxt_menu_data.resource","26","2","2","0","0"
"UAUXT_GRID_CLASS_TOKENS_CSV","resources\data\uauxt_grid_data.resource","11","2","2","0","0"
"UAUXT_GRID_CONTAS_PAGAR_RODAPE","resources\data\uauxt_grid_data.resource","20","2","2","0","0"
"UAUXT_GRID_NAV_COL_DIRECTION","resources\data\uauxt_grid_data.resource","17","2","2","0","0"
"UAUXT_GRID_NAV_COL_STEPS","resources\data\uauxt_grid_data.resource","15","2","2","0","0"
"UAUXT_GRID_NAV_ROW_DIRECTION","resources\data\uauxt_grid_data.resource","16","2","2","0","0"
"UAUXT_GRID_NAV_ROW_STEPS","resources\data\uauxt_grid_data.resource","14","2","2","0","0"
"UAUXT_GRID_PAGAMENTOS","resources\data\uauxt_menu_data.resource","20","2","2","0","0"
"UAUXT_GRID_PROBE_SCRIPT","resources\data\uauxt_grid_data.resource","7","2","2","0","0"
"UAUXT_GRID_TIMEOUT_PROBE","resources\data\uauxt_grid_data.resource","21","2","2","0","0"
"UAUXT_GRID_WINDOW_TITLE_REGEX","resources\data\uauxt_grid_data.resource","10","2","2","0","0"
"UAUXT_MENU_FINANCEIRO","resources\data\uauxt_menu_data.resource","8","2","2","0","0"
"UAUXT_MENU_ICONE_CAPACETE_TOP_MAX","resources\data\uauxt_menu_data.resource","45","2","2","0","0"
"UAUXT_MENU_ICONE_CAPACETE_TOP_MIN","resources\data\uauxt_menu_data.resource","44","2","2","0","0"
"UAUXT_MENU_ITEM_CONTAS_A_PAGAR_LOCATOR","resources\data\uauxt_menu_data.resource","67","2","2","0","0"
"UAUXT_MENU_LATERAL_BROWSER","resources\data\uauxt_menu_data.resource","35","2","2","0","0"
"UAUXT_MENU_LATERAL_HOST","resources\data\uauxt_menu_data.resource","34","2","2","0","0"
"UAUXT_SENHA_ENV","resources\data\uauxt_data.resource","13","2","2","0","0"
"UAUXT_SUBMENU_APROVACAO","resources\data\uauxt_menu_data.resource","16","2","2","0","0"
"UAUXT_SUBMENU_APROVACAO_PAGAMENTOS_TEXTO","resources\data\uauxt_menu_data.resource","56","2","2","0","0"
"UAUXT_SUBMENU_CONTAS_PAGAR","resources\data\uauxt_menu_data.resource","14","2","2","0","0"
"UAUXT_SUBMENU_EMISSAO_PAGAMENTOS","resources\data\uauxt_menu_data.resource","57","2","2","0","0"
"UAUXT_TELA_APROVACAO_PAGAMENTOS","resources\data\uauxt_menu_data.resource","19","2","2","0","0"
"UAUXT_TIMEOUT_TELA","resources\data\uauxt_menu_data.resource","77","2","2","0","0"
"UAUXT_USUARIO_ENV","resources\data\uauxt_data.resource","12","2","2","0","0"
"UAUXT_VALOR_FILTRO_PENDENTE","resources\data\uauxt_menu_data.resource","27","2","2","0","0"
"usa_base_um","resources\apps\uauxt_grid.resource","294","2","2","0","0"
"usuario_pronto","resources\apps\uauxt.resource","35","2","2","0","0"
"value_status","resources\apps\compilador.resource","177","2","2","0","0"
"values","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","179","2","0","2","0"
"VENDAS_DELAY_APOS_BUSCA_MS","resources\data\vendas_data.resource","64","2","2","0","0"
"VENDAS_RESUMO_BTN_BUSCAR_LOCATOR","resources\data\vendas_data.resource","41","2","2","0","0"
"VENDAS_RESUMO_FILTRO_TODOS_LOCATOR","resources\data\vendas_data.resource","45","2","2","0","0"
"VENDAS_RESUMO_TB_EXTRATO_INDEX","resources\data\vendas_data.resource","23","2","2","0","0"
"VENDAS_RESUMO_TB_NOVO_INDEX","resources\data\vendas_data.resource","20","2","2","0","0"
"VENDAS_RESUMO_TB_RESUMO_INDEX","resources\data\vendas_data.resource","22","2","2","0","0"
"width","resources\apps\uauxt_grid.resource","39","2","2","0","0"
"windows_status","resources\apps\compilador.resource","144","2","2","0","0"
"abrir_button","resources\apps\compilador.resource","221","3","3","0","0"
"all_rows","resources\apps\compilador.resource","84","3","3","0","0"
"BOTAO_GRAVAR_PESSOA_LOCATOR","resources\data\pessoas_data.resource","19","3","3","0","0"
"BOTAO_NOVO_PESSOA_LOCATOR","resources\data\pessoas_data.resource","14","3","3","0","0"
"caminho_menu","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","132","3","0","3","0"
"CAMPO_CPF_PESSOA_LOCATOR","resources\data\pessoas_data.resource","16","3","3","0","0"
"CAMPO_EMAIL_PESSOA_LOCATOR","resources\data\pessoas_data.resource","17","3","3","0","0"
"CAMPO_NOME_PESSOA_LOCATOR","resources\data\pessoas_data.resource","15","3","3","0","0"
"CAMPO_TELEFONE_PESSOA_LOCATOR","resources\data\pessoas_data.resource","18","3","3","0","0"
"candidates","tests\90_examples\07_inspecionar_elementos_contas_pagar.robot","56","3","3","0","0"
"candidatos_visiveis","resources\apps\uauxt.resource","165","3","3","0","0"
"cell_count","resources\apps\compilador.resource","94","3","3","0","0"
"COLUNA_CONFIRMADO","tests\90_examples\08_preencher_dvq_grid_processos_pagamento.robot","10","3","3","0","0"
"COMPILADOR_EXE","resources\data\compilador_data.resource","9","3","3","0","0"
"CONTAS_PAGAR_BOTAO_EMPRESA_OBRA_LOCATOR","resources\data\contas_pagar_data.resource","15","3","3","0","0"
"CONTAS_PAGAR_GRID_EMPRESA_HEADER_LOCATOR","resources\data\contas_pagar_data.resource","14","3","3","0","0"
"CONTAS_PAGAR_POPUP_EMPRESA_LOCATOR","resources\data\contas_pagar_data.resource","13","3","3","0","0"
"CONTAS_PAGAR_TIMEOUT_PADRAO","resources\data\contas_pagar_data.resource","23","3","3","0","0"
"CONTAS_PAGAR_TOOLBAR_IMPRIMIR_SOLICITACAO_INDEX","resources\data\contas_pagar_data.resource","59","3","3","0","0"
"current_version","resources\apps\compilador.resource","44","3","3","0","0"
"data_atual","resources\domains\contas_pagar.resource","49","3","3","0","0"
"DIAG_GRID_INDEXES_CSV","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","14","3","3","0","0"
"DIAG_TOOLBAR_CLASS","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","15","3","3","0","0"
"DIAG_WINDOW_LOCATOR","tests\90_examples\21_diagnosticar_estrutura_tela_uauxt.robot","17","3","3","0","0"
"digitos","resources\apps\uauxt_grid.resource","614","3","3","0","0"
"FIN_EMI_BTN_FILTRAR_LOCATOR","resources\data\financeiro_data.resource","26","3","3","0","0"
"FIN_EMI_TARGET_TEXT","resources\data\financeiro_data.resource","9","3","3","0","0"
"FIN_EMI_TEMPO_MAX_ABERTURA_MS","resources\data\financeiro_data.resource","20","3","3","0","0"
"FIN_EMI_TIMEOUT_PADRAO","resources\data\financeiro_data.resource","18","3","3","0","0"
"FIN_EMI_WINDOW_LOCATOR","resources\data\financeiro_data.resource","10","3","3","0","0"
"found","resources\apps\uauxt_grid.resource","546","3","3","0","0"
